condition,image_a,image_b,person_a,person_b,same_person,score,over_threshold
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0728_c1s4_002406_03.jpg,0728,0728,True,0.8861706256866455,True
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0728_c1s4_002431_04.jpg,0728,0728,True,0.8691473007202148,True
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0728_c1s4_049231_05.jpg,0728,0728,True,0.7405869960784912,True
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0728_c1s4_049256_03.jpg,0728,0728,True,0.8465785980224609,True
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0732_c6s2_101868_01.jpg,0728,0732,False,0.7154282331466675,True
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0732_c6s2_102443_02.jpg,0728,0732,False,0.6248559951782227,False
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0732_c6s2_102643_04.jpg,0728,0732,False,0.6396532654762268,False
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0732_c6s2_102818_03.jpg,0728,0732,False,0.6128893494606018,False
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0732_c6s2_103243_01.jpg,0728,0732,False,0.5559889078140259,False
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0735_c2s2_061682_03.jpg,0728,0735,False,0.40320008993148804,False
market1501_bounding_box_test,market1501_bounding_box_test/0728_c1s4_002381_01.jpg,market1501_bounding_box_test/0735_c2s2_069132_01.jpg,0728,0735,False,0.3646922707557678,False
